complexName,articleNo,articleName,tradeTypeName,dealOrWarrantPrc,rentPrc,floorInfo,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,realtorName,realtorId,dong
더샵송도센텀하이브B,2536980771,더샵송도센텀하이브,전세,"2억 2,000",,28/29,131,62,북동향,20250711,"뻥뷰, 시티뷰, 뷰맛집, 융무, 초저렴 전세, 역세권",부동산시월공인중개사사무소,october-real,B동
더샵송도센텀하이브B,2535523852,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,북서향,20250703,즉시입주가능 I 시티뷰 I 더블역세권 2룸 I 편리한생활권,송도이음공인중개사사무소,guid098,B동
더샵송도센텀하이브B,2537474061,더샵송도센텀하이브,월세,"1,000",105,24/29,136,64,북서향,20250714,정말 임대료 맞나요  착한 가격 편리한 주변 인프라 센텀하이브 오피스텔,부동산대통령공인중개사사무소,8813004,
더샵송도센텀하이브B,2538090668,더샵송도센텀하이브,월세,"1,500",110,11/29,132,63,북동향,20250715,역세권 신축 즉시입주 전입안됨 시티뷰 부별,센텀나이스공인중개사사무소,55mangaya,
더샵송도센텀하이브B,2538083826,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북서향,20250715,"1년입주가능,역세권 시티뷰 전입안됨 부가세별도",센텀나이스공인중개사사무소,55mangaya,
더샵송도센텀하이브B,2538172284,더샵송도센텀하이브,전세,3억,,14/29,132,63,북동향,20250715,"시티뷰,복층,풀에어컨,가격협의가능",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2538226656,더샵송도센텀하이브,월세,"2,000",140,11/29,132,63,남동향,20250715,즉시입주. 전인안됨. 애견안됨. 보증금 조정가능. 센트럴파크뷰,센텀나이스공인중개사사무소,55mangaya,
더샵송도센텀하이브B,2538174535,더샵송도센텀하이브,월세,"2,500",130,21/29,131,62,서향,20250715,"워터프런트뷰,복층,풀에어컨,센트럴파크역 인접,전입가능",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2538087920,더샵송도센텀하이브,월세,"2,000",140,21/29,136,64,남서향,20250715,"신축후 첫입주, 초역세권, 워프호수 뷰, 복층구조",광장공인중개사사무소,eunsool7800,
더샵송도센텀하이브B,2538163793,더샵송도센텀하이브,월세,"1,500",115,26/29,132,63,북동향,20250715,"일임사,전입불가,줄눈시공예정,복층,수납공간많음,역세권신축오피스",송도이지공인중개사사무소,songdoeasy,
더샵송도센텀하이브B,2538174374,더샵송도센텀하이브,월세,"2,000",130,15/29,136,64,남향,20250715,"워터프런트뷰, 센트럴파크역 근처, 복층, 풀에어컨,전입불가,부가세별도",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2538172465,더샵송도센텀하이브,전세,3억,,15/29,136,64,남향,20250715,"워터프런트뷰, 복층, 풀에어컨,가격조정가능",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2536297815,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북동향,20250707,잔금완료된 세대 바로 입주 가능 보증금도 부담없이,한라시티부동산공인중개사사무소,officemate820516,B동
더샵송도센텀하이브B,2538192441,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250715,전입불가 즉시입주 호수뷰 역세권 방2 화장실2  복층 ,대방시그니처공인중개사사무소,a7216688,
더샵송도센텀하이브B,2538238604,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,남서향,20250715,"호수뷰,더블역세권,방2,복층,첫입주,전입불가,사업자,부가세별도",명가공인중개사사무소,smg8878,B동
더샵송도센텀하이브B,2538220348,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,북서향,20250715,첫입주.복층.투룸. 안방 테라스.편리한 생활 인프라.전입안됨.,한마음공인중개사사무소,s8344800,
더샵송도센텀하이브B,2538247109,더샵송도센텀하이브,매매,"4억 2,595",,19/29,133,63,남향,20250715,시원한 호수뷰0  복층형0  출에어컨0  첫입주0,대방호수공인중개사사무소,inn313313,
더샵송도센텀하이브B,2538247279,더샵송도센텀하이브,매매,"4억 5,460",,26/29,132,63,북동향,20250715,부가세포기0  초역세권0  멋진시티뷰0  첫입주0,대방호수공인중개사사무소,inn313313,
더샵송도센텀하이브B,2538247861,더샵송도센텀하이브,월세,"1,500",110,26/29,132,63,동향,20250715,멋진시티뷰0   복층형0   풀에어컨0   인덕션0,대방호수공인중개사사무소,inn313313,B동
더샵송도센텀하이브B,2538247972,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,북서향,20250715,시원한호수뷰0   풀에어컨0   역세권0   첫입주0 ,대방호수공인중개사사무소,inn313313,B동
더샵송도센텀하이브B,2538097211,더샵송도센텀하이브,월세,"2,000",120,15/29,136,64,남동향,20250715,"더블역세권,센트럴파크도보권,상권이용편리,입지최고,부별",송도SK정문공인중개사사무소,f8178080,
더샵송도센텀하이브B,2538090579,더샵송도센텀하이브,월세,"2,000",130,25/29,131,62,북서향,20250715,센트럴파크보이는 시티뷰 복층다락방구조. 사업자 부가세별도 ,스카이탑공인중개사사무소,j4380000,
더샵송도센텀하이브B,2538159050,더샵송도센텀하이브,월세,"1,500",110,26/29,132,63,동향,20250715,신축첫입주 테라스 복층2룸 역세권 생활권편리 전입불가,부동산중개공간,gonggan_songdo2,
더샵송도센텀하이브B,2538018572,더샵송도센텀하이브,월세,"2,000",120,13/29,133,63,남동향,20250715,"전입가능,2룸복층형,업무지구역초역세권,신축 센팍뷰와시티뷰 멋짐",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2538012582,더샵송도센텀하이브,월세,"2,000",130,18/29,133,63,북동향,20250714,"전입가능,복층투룸,주거용오피스텔로만 사용",넘버원공인중개사사무소,woosunmin2901,
더샵송도센텀하이브B,2538033612,더샵송도센텀하이브,월세,"3,000",120,20/29,132,63,남향,20250715,전입가능 워터프론트 호수뷰,컨벤시아공인중개사사무소,8329114cjh,
더샵송도센텀하이브B,2538159492,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250715,전입안됨 부별 호수뷰 신축첫입주 테라스 복층2룸 역세권 생활권편리 ,부동산중개공간,gonggan_songdo2,
더샵송도센텀하이브B,2538137400,더샵송도센텀하이브,매매,"4억 6,830",,16/29,131,62,남서향,20250715,"초급매,프리미엄협의,2룸복층,남서향 호수뷰,부가세환급조건,초역세권",송도SK정문공인중개사사무소,f8178080,
더샵송도센텀하이브B,2538089476,더샵송도센텀하이브,월세,"2,000",120,26/29,132,63,북동향,20250715,전입가능 시티뷰 복층  신축첫입주 ,송도랜드마크공인중개사사무소,jy8580103,
더샵송도센텀하이브B,2538018968,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,남동향,20250715,"멋진시티뷰,부가세별도,신축,복측형,국제업무지구역초역세권",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2538171435,더샵송도센텀하이브,월세,"2,000",140,11/29,132,63,서향,20250715,사업자 센트럴파크뷰,스카이투유공인중개사사무소,twoyoo_sd,
더샵송도센텀하이브B,2538153821,더샵송도센텀하이브,월세,"1,000",130,23/29,132,63,북동향,20250715,DD. 사진보셔요착한월세. 테라스있는 복층2룸. 일임사. 전입X,부동산다름공인중개사사무소,7kbj169,B동
더샵송도센텀하이브B,2538115751,더샵송도센텀하이브,월세,"2,000",120,20/29,132,63,남서향,20250715,"부가세별도,전입불가,풀에어컨,남서향 멋진호수뷰,신축 초역세권",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2538089650,더샵송도센텀하이브,월세,"1,500",115,22/29,133,63,남서향,20250715,"o사이다o착한 월세, 침실2,욕실2,부가세 별도,수납공간 아주 많음",송도사이다공인중개사사무소,infor7979,
더샵송도센텀하이브B,2538015301,더샵송도센텀하이브,전세,3억,,28/29,133,63,남향,20250715,"센팍뷰,시티뷰,풀에어컨,첫입주,국제업무지구역초역세권",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2538033686,더샵송도센텀하이브,월세,"1,500",130,22/29,131,62,남서향,20250715,전입x 부별,컨벤시아공인중개사사무소,8329114cjh,
더샵송도센텀하이브B,2538039463,더샵송도센텀하이브,월세,"2,000",140,25/29,133,63,남동향,20250715,복층2룸hi. 전입x 부가세별도. 복층 여유수납공간. 거실테라스,송도하이부동산공인중개사사무소,thdehgkdl,
더샵송도센텀하이브B,2538008262,더샵송도센텀하이브,월세,"2,000",140,25/29,133,63,남서향,20250714,전입가능 조율가 워터프론트호수뷰 신축2룸 복층형구조,아크베이한길공인중개사사무소,hangil834557,
더샵송도센텀하이브B,2538177225,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,서향,20250715,사업자 호수방향 ,스카이투유공인중개사사무소,twoyoo_sd,
더샵송도센텀하이브B,2538018767,더샵송도센텀하이브,월세,"1,000",120,14/29,132,63,남동향,20250715,"복층형오피스텔,멋진시티뷰,에어컨풀,부가세별도,국제업무지구역 초역세권",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2537790614,더샵송도센텀하이브,월세,"2,000",140,25/29,131,62,북동향,20250714,"시티뷰,복층,센트럴파크역 근처,일반사업자,부가세별도",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2537793773,더샵송도센텀하이브,월세,"2,000",150,11/29,132,63,남서향,20250714,"워터프런트뷰, 센트럴파크역 인접, 복층, 풀에어컨,사업용, 전입불가,부별",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2537805697,더샵송도센텀하이브,월세,"2,000",120,26/29,132,63,북동향,20250714,첫입주. 전입불가. 조정가능. 시티뷰,센텀나이스공인중개사사무소,55mangaya,B동
더샵송도센텀하이브B,2537807382,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250714,,센텀나이스공인중개사사무소,55mangaya,
더샵송도센텀하이브B,2537811029,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,북동향,20250714,국제업무지구역 전입가능 신축첫입주 방2화2 복층 경제청방향,센텀나이스공인중개사사무소,55mangaya,
더샵송도센텀하이브B,2537816474,더샵송도센텀하이브,월세,"2,000",140,28/29,133,63,남서향,20250714,역세권 첫입주 전입가능 거실테라스 안방큼 방2화2 풀에어컨 센트럴파크뷰,센텀나이스공인중개사사무소,55mangaya,
더샵송도센텀하이브B,2537977841,더샵송도센텀하이브,월세,"2,000",140,25/29,133,63,남서향,20250714,"워터프런트뷰,국제업무단지역 근처,복층,전입가능",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2537993278,더샵송도센텀하이브,월세,"2,000",140,21/29,136,64,남서향,20250714,"워터프런트뷰,국제업무단지역 근처,복층,전입불가,부가세별도",송도의아침공인중개사사무소,avess4803,
더샵송도센텀하이브B,2537902533,더샵송도센텀하이브,매매,"4억 9,480",,21/29,133,63,남서향,20250714,사업자  조율가능  복층  더블역세권,당근공인중개사사무소,carrot1091,
더샵송도센텀하이브B,2537894882,더샵송도센텀하이브,매매,"4억 3,011",,10/29,133,63,북동향,20250714, 계약금포기 부가세 반환   역세권    아라영구조망 ,송도호반스타부동산공인중개사사무소,ekdls7003,
더샵송도센텀하이브B,2537941087,더샵송도센텀하이브,월세,"1,500",110,11/29,132,63,북동향,20250714,조은자리. 투룸. 즉시입주. 시티뷰. 사업자. 부별 ,조은자리공인중개사사무소,goodrec3355,
더샵송도센텀하이브B,2537986394,더샵송도센텀하이브,월세,"2,000",120,26/29,132,63,북동향,20250714,"전입가능,시티뷰,2룸,수납공간많은복층",수정부동산공인중개사사무소,sjaj1001,
더샵송도센텀하이브B,2538014278,더샵송도센텀하이브,매매,4억 507,,19/29,133,63,남서향,20250714,무피0  복층형오피스텔0  최고의 입지0  더블역세권0,대방호수공인중개사사무소,inn313313,B동
더샵송도센텀하이브B,2538014689,더샵송도센텀하이브,전세,3억,,18/29,132,63,남서향,20250714,"멋진호수뷰와바다뷰,전입가능,풀에어컨,복층형,초역세권,첫입주",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2537891947,더샵송도센텀하이브,전세,3억,,28/29,133,63,남동향,20250714,"신축,더블역세권, 다락방,2룸2욕,넓은 수납장,트인개방감",당근공인중개사사무소,carrot1091,
더샵송도센텀하이브B,2538014138,더샵송도센텀하이브,매매,"3억 6,249",,16/29,131,62,서향,20250714,"야경이멋진시티뷰0   복층형0  계포,부포0  추가마피0  첫입주0",대방호수공인중개사사무소,inn313313,B동
더샵송도센텀하이브B,2537997372,더샵송도센텀하이브,매매,4억 479,,16/29,131,62,남서향,20250714,복층투룸.호수뷰. 계포.부포.국제업무지구역세권,송도온공인중개사사무소,r8317789,
더샵송도센텀하이브B,2538014957,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,동향,20250714,사업자별도0 멋진시티뷰0 초역세권0 우수한생활인프라0 다양한편의시설0,대방호수공인중개사사무소,inn313313,
더샵송도센텀하이브B,2538014991,더샵송도센텀하이브,전세,"2억 9,000",,24/29,136,64,남동향,20250714,"센팍뷰가 멋져요,에어컨풀,복층형,국제업무지구역 초역세권",SK금메달부동산공인중개사사무소,k8339933,
더샵송도센텀하이브B,2537998560,더샵송도센텀하이브,전세,3억,,16/29,131,62,남서향,20250714,워터프론트 호수뷰. 전입불가. 전세권설정가능.,송도온공인중개사사무소,r8317789,
더샵송도센텀하이브B,2537798407,더샵송도센텀하이브,월세,"2,000",130,25/29,133,63,남향,20250714,"센트뷰파크뷰,방2화2,복층,첫입주,전입불가,사업자,부가세별도",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537822459,더샵송도센텀하이브,매매,"4억 4,130",,19/29,131,62,북동향,20250714,"무피,시티뷰,복층,2룸",수정부동산공인중개사사무소,sjaj1001,
더샵송도센텀하이브B,2537875687,더샵송도센텀하이브,월세,"2,000",130,21/29,136,64,남서향,20250714,전입불가  잔금완납 호수뷰 남서향  역세권 방2 화장실2 복층 ,대방시그니처공인중개사사무소,a7216688,
더샵송도센텀하이브B,2537803501,더샵송도센텀하이브,매매,"4억 2,147",,16/29,131,62,남서향,20250714,멋진호수뷰 계약금포기및부가세반환 투룸 복층 호수뷰,스카이탑공인중개사사무소,j4380000,
더샵송도센텀하이브B,2537807624,더샵송도센텀하이브,매매,"4억 5,400",,26/29,132,63,북동향,20250714,센텀하이브 복층. 신축첫입주. 욕실2. 방2.,웰사랑부동산공인중개사사무소,a8345858,
더샵송도센텀하이브B,2537878507,더샵송도센텀하이브,매매,"3억 6,249",,16/29,131,62,남서향,20250714, 계약금 포기 부가세 환급 추가 해드림통창  호수조망 초역세권 ,송도호반스타부동산공인중개사사무소,ekdls7003,
더샵송도센텀하이브B,2537825384,더샵송도센텀하이브,월세,"2,000",140,27/29,133,63,남서향,20250714,"전입가능,호수뷰,신축,첫입주,수납공간많은다락",수정부동산공인중개사사무소,sjaj1001,
더샵송도센텀하이브B,2537887481,더샵송도센텀하이브,매매,"4억 2,000",,10/29,133,63,남서향,20250714,"희소성다락방,주변오피스운집으로투자가치좋음,호수뷰,넉넉한수납",당근공인중개사사무소,carrot1091,
더샵송도센텀하이브B,2537814575,더샵송도센텀하이브,월세,"2,000",140,27/29,136,64,북동향,20250714,"시티뷰, 전입불가, 신혼부부회사원추천, 북동향, B3",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537812370,더샵송도센텀하이브,월세,"2,000",150,11/29,132,63,남서향,20250714,"호수뷰,더블역세권,전입불가,방2화2,복층,첫입주,사업자,부가세별도",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537813816,더샵송도센텀하이브,월세,"2,000",130,11/29,132,63,북동향,20250714,"전입가능, 신혼부부회사원추천, 6월초입주, 북동향, B2, 시티뷰",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537891267,더샵송도센텀하이브,월세,"2,000",140,28/29,133,63,남동향,20250714,"전입가능,신축,더블역세권, 다락방,2룸2욕,넓은 수납장,트인개방감",당근공인중개사사무소,carrot1091,
더샵송도센텀하이브B,2537818621,더샵송도센텀하이브,월세,"2,000",140,27/29,133,63,북동향,20250714,"시티뷰,더블역세권,방2화2,복층,첫입주,전입불가,사업자,부별",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537809858,더샵송도센텀하이브,월세,"2,000",140,13/29,133,63,남동향,20250714,전입가능. 부가세없음. 복층. 욕실2.,웰사랑부동산공인중개사사무소,a8345858,
더샵송도센텀하이브B,2537814452,더샵송도센텀하이브,월세,"2,000",140,24/29,136,64,남서향,20250714,"전입불가,부가세X,예쁜호수뷰,첫입주,2룸,복층,수납공간많은다락",수정부동산공인중개사사무소,sjaj1001,
더샵송도센텀하이브B,2537819199,더샵송도센텀하이브,월세,"1억 1,000",50,19/29,131,62,북동향,20250714,"시티뷰,더블역세권,방2,복층,전입불가,사업자,부가세별도,근저당권설정가능",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537819590,더샵송도센텀하이브,매매,"4억 3,011",,10/29,133,63,남서향,20250714,"실사용,투자용,추천,계포,부가세환급,호수뷰,복층,2룸",수정부동산공인중개사사무소,sjaj1001,
더샵송도센텀하이브B,2537806022,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250714,탁트인멋진호수뷰 투룸 편리한 복층 사업자 부별 ,스카이탑공인중개사사무소,j4380000,
더샵송도센텀하이브B,2537817803,더샵송도센텀하이브,월세,"2,000",150,28/29,133,63,북동향,20250714,"6월입주,시티뷰,거실테라스,더블역세권,방2,첫입주,전입불가,사업자,부별",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537811329,더샵송도센텀하이브,월세,"2,000",120,26/29,132,63,북동향,20250714,센텀하이브 복층 오피스텔. 첫입주. 전입안됨. 부가세별도,웰사랑부동산공인중개사사무소,a8345858,
더샵송도센텀하이브B,2537738492,더샵송도센텀하이브,월세,"2,000",120,13/29,133,63,남동향,20250714,"신축, 역세권, 전입o, 2룸, 2욕실, 협의가능",송도에이스공인중개사사무소,ace760603,B동
더샵송도센텀하이브B,2537732459,더샵송도센텀하이브,매매,"5억 5,120",,21/29,136,64,남서향,20250714,"더블 역세권, 호수 전망, 최강 입지",송도에이스공인중개사사무소,ace760603,
더샵송도센텀하이브B,2537797195,더샵송도센텀하이브,월세,"1,500",140,22/29,131,62,남서향,20250714,"호수뷰,더블역세권,방2,복층,첫입주,전입불가,사업자,부가세별도",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537785891,더샵송도센텀하이브,월세,"2,000",120,18/29,133,63,동향,20250714,전입가능 시티뷰 거실 긴 구조,스카이투유공인중개사사무소,twoyoo_sd,
더샵송도센텀하이브B,2537788659,더샵송도센텀하이브,매매,"4억 2,595",,19/29,133,63,서향,20250714,,스카이투유공인중개사사무소,twoyoo_sd,
더샵송도센텀하이브B,2537795699,더샵송도센텀하이브,월세,"2,000",150,26/29,132,63,북동향,20250714,"전입가능,시티뷰,더블역세권,방2화2,복층,첫입주,옵션 커튼화장실줄눈",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537739138,더샵송도센텀하이브,월세,"2,000",130,18/29,133,63,동향,20250714,정답 전입가능 복층2룸 시원한뷰,정답공인중개사사무소,gd8310490,
더샵송도센텀하이브B,2537780061,더샵송도센텀하이브,월세,"1,500",130,11/29,132,63,남서향,20250714,사업자 부가세별도 코너 호수뷰 ,스카이투유공인중개사사무소,twoyoo_sd,
더샵송도센텀하이브B,2537736923,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250714,"더블 역세권, 신축 입주, 환상적인 바다 전망, 부가세 별도",송도에이스공인중개사사무소,ace760603,B동
더샵송도센텀하이브B,2537793617,더샵송도센텀하이브,월세,"2,000",140,19/29,133,63,남서향,20250714,"호수뷰,거실테라스,더블역세권,방2,복층,첫입주,전입불가,사업자,부가세별도",명가공인중개사사무소,smg8878,
더샵송도센텀하이브B,2537734620,더샵송도센텀하이브,월세,"1,500",130,22/29,131,62,남서향,20250714,"신축, 국제업무지구역 인근, 복층, 투룸, 신축, 부별, 호수뷰",송도에이스공인중개사사무소,ace760603,B동
더샵송도센텀하이브B,2537777362,더샵송도센텀하이브,월세,"2,000",140,14/29,132,63,남동향,20250714,사업자 부별 호수시티뷰 복층다락방,스카이투유공인중개사사무소,twoyoo_sd,
더샵송도센텀하이브B,2537737544,더샵송도센텀하이브,월세,"2,000",120,26/29,132,63,동향,20250714,"신축, 오피스텔, 2룸, 초 역세권, 시티뷰, 전입x",송도에이스공인중개사사무소,ace760603,B동
더샵송도센텀하이브B,2537158566,더샵송도센텀하이브,월세,"2,000",120,중/29,133,63,북동향,20250711,신축 역세권 투룸 탁트인 시티뷰 수납공간 많아 편리함,센텀최고공인중개사사무소,centumproperty,B동
더샵송도센텀하이브B,2537255585,더샵송도센텀하이브,전세,"2억 5,000",,고/29,133,63,북동향,20250711,초역세권 신축투룸오피 입지와 뷰 보시면 반하실겁니다,센텀최고공인중개사사무소,centumproperty,B동
더샵송도센텀하이브B,2535695748,더샵송도센텀하이브,월세,"1,500",130,26/29,132,63,북동향,20250704,센텀신축첫입주 2룸 전입불가 사업자 옵션가능 등기완료함 더블역세권,센트로드강남공인중개사사무소,k8517500,B동
더샵송도센텀하이브B,2537618476,더샵송도센텀하이브,월세,"1,500",110,11/29,132,63,남동향,20250712,"남동향, 뻥뷰, 방2개, 복층, 초저렴월세, 역세권",부동산시월공인중개사사무소,october-real,
