articleNo,articleName,tradeTypeName,dealOrWarrantPrc,rentPrc,floorInfo,area1,area2,direction,articleConfirmYmd,articleFeatureDesc,realtorName,realtorId
2535523852,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,북서향,20250703,즉시입주가능 I 시티뷰 I 더블역세권 2룸 I 편리한생활권,송도이음공인중개사사무소,guid098
2531682996,더샵송도센텀하이브,매매,"4억 3,680",,25/29,130,62,남서향,20250613,유튜브영상있음 사진많음 복층 풀옵션에 사진 풍부 직장인 월세수요 집중,아름다운공인중개사사무소,dudals0220_
2530609456,더샵송도센텀하이브,전세,"2억 2,000",,28/29,131,62,북동향,20250610,"뻥뷰, 시티뷰, 뷰맛집, 융무, 초저렴 전세, 역세권",부동산시월공인중개사사무소,october-real
2530351948,더샵송도센텀하이브,월세,"2,000",120,17/29,132,63,북동향,20250610,잔금 완료 세대로 전입은 불가빠른 입주 가능해요,타워공인중개사사무소,a4330020
2530577021,더샵송도센텀하이브,전세,"2억 4,000",,14/29,132,63,북동향,20250610,2룸o조정가능o 복층o 전입가능o융자무o2개 욕실o 세탁기o냉장고o,부동산올업공인중개사사무소,allup6600
2536297815,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,북동향,20250707,잔금완료된 세대 바로 입주 가능 보증금도 부담없이,한라시티부동산공인중개사사무소,officemate820516
2535695748,더샵송도센텀하이브,월세,"1,500",130,26/29,132,63,북동향,20250704,센텀신축첫입주 2룸 전입불가 사업자 옵션가능 등기완료함 더블역세권,센트로드강남공인중개사사무소,k8517500
2535470708,더샵송도센텀하이브,월세,"2,000",130,13/29,131,62,남서향,20250703,호수뷰 전입가능 중층으로 호불호없구요 빠른입주가능,한라시티부동산공인중개사사무소,officemate820516
2534397975,더샵송도센텀하이브,전세,3억,,28/29,133,63,남동향,20250703,센텀신축첫입주 무융자 2룸2욕실 시티뷰 신혼부부강추 더블역세권,센트로드강남공인중개사사무소,k8517500
2535680849,더샵송도센텀하이브,월세,"2,000",120,20/29,132,63,남동향,20250703,센텀신축첫입주 2룸 전입불가 사업자 시티뷰 더블역세권,센트로드강남공인중개사사무소,k8517500
2535107434,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250701,"신축 더블역세권, 워터프런트 호수뷰, 렌트프리 1달, 신혼부부추천",센텀최고공인중개사사무소,centumproperty
2536061075,더샵송도센텀하이브,월세,"2,000",120,중/29,131,62,남서향,20250707,센텀신축 2룸 전입불가 부가세별도 전면호수뷰 수납많은다락방 역세권,센트로드강남공인중개사사무소,k8517500
2536581829,더샵송도센텀하이브,매매,"5억 4,250",,20/29,132,63,남서향,20250708,"호수뷰, 프리미엄 5000만원",송도의아침공인중개사사무소,avess4803
2536576717,더샵송도센텀하이브,월세,"2,000",110,25/29,133,63,동향,20250708,전입불가 저렴월세 신축2룸 복층형구조 역세권 ,아크베이한길공인중개사사무소,hangil834557
2536618189,더샵송도센텀하이브,월세,"2,000",140,11/29,132,63,북동향,20250708,"시티뷰,센팍뷰,복층,풀에어컨,전입가능",송도의아침공인중개사사무소,avess4803
2536623054,더샵송도센텀하이브,월세,"2,000",110,19/29,131,62,북동향,20250708,"센텀하이브 오피스텔 전입X, 부가세 별도 저렴 월세",넘버원공인중개사사무소,woosunmin2901
2536669285,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,북서향,20250708,"저렴월세, 역세권, 신축, 투룸에다락까지 선점하세요, 전입X",1공구공인중개사사무소,a8170109
2536671690,더샵송도센텀하이브,월세,"2,000",120,15/29,133,63,북동향,20250708,"전입불가, 신축첫입주 투룸에 다락까지  선점하세요 역세권",1공구공인중개사사무소,a8170109
2534561645,더샵송도센텀하이브,월세,"2,000",120,16/29,131,62,남서향,20250630,뷰가 너무 좋은 복층오피스 가격절충가능해요,한라시티부동산공인중개사사무소,officemate820516
2536748885,더샵송도센텀하이브,월세,"2,000",100,12/29,133,63,북동향,20250708,전입안됨 부가세별도 시티뷰 복층2룸 화장실2 역세권 생활권편리 ,부동산중개공간,gonggan_songdo2
2536626150,더샵송도센텀하이브,월세,"2,000",140,25/29,133,63,남서향,20250708,잔금완납 전입가능 호수뷰  방2 화장실2 복층 역세권 ,대방시그니처공인중개사사무소,a7216688
2536586459,더샵송도센텀하이브,월세,"2,000",140,27/29,133,63,북향,20250708,D 전입불가 멋진시티뷰 투룸복층 어서오세요,다이아공인중개사사무소,dia040812
2536741121,더샵송도센텀하이브,월세,"2,000",135,14/29,132,63,북동향,20250708,"사업자,전입불가,시티뷰,2룸복층,수납공간많은다락",수정부동산공인중개사사무소,sjaj1001
2536733469,더샵송도센텀하이브,월세,"2,000",140,21/29,136,64,북동향,20250708,"전입X,부별,센팍조망,신축,첫입주,2룸복층,수납많은다락",수정부동산공인중개사사무소,sjaj1001
2536662173,더샵송도센텀하이브,월세,"2,000",140,12/29,136,64,남동향,20250708,사업자 부별 호수뷰 서향 거실 긴 타입 ,스카이투유공인중개사사무소,twoyoo_sd
2536660148,더샵송도센텀하이브,월세,"1,000",130,23/29,132,63,남서향,20250708,사업자 부가세별도 멋진 시티뷰 ,스카이투유공인중개사사무소,twoyoo_sd
2536683188,더샵송도센텀하이브,월세,"3,000",140,26/29,132,63,남서향,20250708,"MASTER 전입가능,복층,투룸,다락,수납공간 많은 구조,국제업무지구역",송도마스터공인중개사사무소,master-view
2536624364,더샵송도센텀하이브,월세,"1,000",130,15/29,136,64,남동향,20250708,"역세권 신축 오피스텔, 방 2개 화장실 2개",송도에이스공인중개사사무소,ace760603
2536720415,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,북서향,20250708,융무 전입가능 냉장고 세탁기 건조기 옵션제공,스카이투유공인중개사사무소,twoyoo_sd
2536586873,더샵송도센텀하이브,월세,"2,000",150,11/29,132,63,북향,20250708,D 멋진호수뷰 부가세별도 투룸복층 어서오세요,다이아공인중개사사무소,dia040812
2536720009,더샵송도센텀하이브,월세,"2,000",130,16/29,131,62,남서향,20250708,사업자 부별 코너자리 호수뷰,스카이투유공인중개사사무소,twoyoo_sd
2536658037,더샵송도센텀하이브,월세,"1,000",110,25/29,133,63,북동향,20250708,2룸과다락방.사업자.전실에어컨.신구첫입주.부가세X가능,오늘공인중개사사무소,fax4669
2536710157,더샵송도센텀하이브,전세,"2억 4,000",,27/29,136,64,북동향,20250708,전입가능 에어컨풀 전세자금대출가능  트인뷰 첫입주 ,송도호반스타부동산공인중개사사무소,ekdls7003
2536684719,더샵송도센텀하이브,월세,"2,000",130,16/29,130,62,북서향,20250708,"전입가능,2룸복층,수납공간많은다락,신축,첫입주",수정부동산공인중개사사무소,sjaj1001
2536710918,더샵송도센텀하이브,월세,"2,000",130,19/29,131,62,북동향,20250708,신축첫입주 2룸 사업자 부가세별도 전입불가  역세권,송도호반스타부동산공인중개사사무소,ekdls7003
2536630792,더샵송도센텀하이브,월세,"2,000",130,12/29,136,64,남서향,20250708,"부가세 별도 , 첫 입주 수납 공간 굿",송도에이스공인중개사사무소,ace760603
2536625802,더샵송도센텀하이브,월세,"2,000",120,26/29,132,63,동향,20250708,"신축, 오피스텔, 2룸, 초 역세권, 시티뷰, 전입x",송도에이스공인중개사사무소,ace760603
2536708899,더샵송도센텀하이브,월세,"1,300",110,15/29,131,62,서향,20250708,"o사이다o 복층, 부가세 별도, 수납공간 아주 많음, 신박한 복층 구조",송도사이다공인중개사사무소,infor7979
2536746981,더샵송도센텀하이브,월세,"3,000",120,20/29,132,63,남서향,20250708,"전입가능,5000에100가능,워터프런트호수뷰,2룸복층,신축,첫입주",수정부동산공인중개사사무소,sjaj1001
2536737941,더샵송도센텀하이브,월세,"2,000",130,16/29,130,62,서향,20250708,"o사이다o  복층, 침실2,욕실2, 전입 가능, 수납공간 아주 많아요",송도사이다공인중개사사무소,infor7979
2536437958,더샵송도센텀하이브,매매,"4억 5,400",,26/29,132,63,동향,20250707,"고층멋진시티뷰,복층투룸,높은층고로 개방감좋음",윤슬공인중개사사무소,iisuk6211
2536516066,더샵송도센텀하이브,월세,"5,000",100,18/29,136,64,동향,20250707,전입가능 보증금조율가능 넓은 투룸 최고 복층 ,아크베이한길공인중개사사무소,hangil834557
2536566879,더샵송도센텀하이브,월세,"1,500",120,19/29,131,62,동향,20250708,사업자별도0 멋진시티뷰0 초역세권0 우수한생활인프라0 다양한편의시설0,대방호수공인중개사사무소,inn313313
2536513645,더샵송도센텀하이브,월세,"2,000",130,24/29,133,63,서향,20250707,부가세별도 전입불가 단기임차 6개월 가능 신축2룸 복층형구조 ,아크베이한길공인중개사사무소,hangil834557
2536514015,더샵송도센텀하이브,월세,"2,000",150,11/29,132,63,남서향,20250707,조율가능 전입불가 워터프론트호수뷰 복층 신축2룸,아크베이한길공인중개사사무소,hangil834557
